# 3-Component Decay Chain Output
# Input parameters:
#   Half-life A (h): 1.97
#   Half-life B (h): 9.91
#   Na0: 100.0  Nb0: 0.0  Nc0: 0.0
#   tfinal (h): 50.0
#
# t(h)    NA        NB        NC        Total
4.0000   24.477755   63.800287   11.721958   100.000000
4.0100   24.391781   63.841622   11.766597   100.000000
4.0200   24.306109   63.882626   11.811265   100.000000
4.0300   24.220738   63.923301   11.855961   100.000000
4.0400   24.135667   63.963647   11.900686   100.000000
4.0500   24.050894   64.003667   11.945439   100.000000
4.0600   23.966419   64.043361   11.990220   100.000000
4.0700   23.882241   64.082730   12.035028   100.000000
4.0800   23.798359   64.121777   12.079864   100.000000
4.0900   23.714771   64.160502   12.124727   100.000000
4.1000   23.631477   64.198906   12.169617   100.000000
4.1100   23.548476   64.236990   12.214534   100.000000
4.1200   23.465766   64.274757   12.259477   100.000000
4.1300   23.383346   64.312207   12.304447   100.000000
4.1400   23.301216   64.349342   12.349442   100.000000
4.1500   23.219375   64.386162   12.394464   100.000000
4.1600   23.137820   64.422668   12.439511   100.000000
4.1700   23.056553   64.458864   12.484584   100.000000
4.1800   22.975570   64.494748   12.529682   100.000000
4.1900   22.894873   64.530323   12.574804   100.000000
4.2000   22.814458   64.565590   12.619952   100.000000
4.2100   22.734326   64.600550   12.665124   100.000000
4.2200   22.654476   64.635204   12.710321   100.000000
4.2300   22.574906   64.669553   12.755541   100.000000
4.2400   22.495615   64.703599   12.800786   100.000000
4.2500   22.416603   64.737343   12.846054   100.000000
4.2600   22.337869   64.770786   12.891346   100.000000
4.2700   22.259411   64.803929   12.936661   100.000000
4.2800   22.181228   64.836773   12.981999   100.000000
4.2900   22.103321   64.869320   13.027360   100.000000
4.3000   22.025686   64.901570   13.072743   100.000000
4.3100   21.948325   64.933526   13.118149   100.000000
4.3200   21.871235   64.965187   13.163578   100.000000
4.3300   21.794416   64.996556   13.209028   100.000000
4.3400   21.717867   65.027633   13.254500   100.000000
4.3500   21.641587   65.058419   13.299994   100.000000
4.3600   21.565574   65.088916   13.345510   100.000000
4.3700   21.489829   65.119125   13.391046   100.000000
4.3800   21.414349   65.149047   13.436604   100.000000
4.3900   21.339135   65.178683   13.482182   100.000000
4.4000   21.264185   65.208034   13.527781   100.000000
4.4100   21.189498   65.237102   13.573400   100.000000
4.4200   21.115074   65.265886   13.619040   100.000000
4.4300   21.040910   65.294390   13.664700   100.000000
4.4400   20.967008   65.322613   13.710379   100.000000
4.4500   20.893365   65.350557   13.756078   100.000000
4.4600   20.819980   65.378223   13.801797   100.000000
4.4700   20.746854   65.405611   13.847535   100.000000
4.4800   20.673984   65.432724   13.893292   100.000000
4.4900   20.601370   65.459562   13.939068   100.000000
4.5000   20.529011   65.486127   13.984862   100.000000
4.5100   20.456906   65.512418   14.030675   100.000000
4.5200   20.385055   65.538439   14.076506   100.000000
4.5300   20.313456   65.564188   14.122356   100.000000
4.5400   20.242108   65.589669   14.168223   100.000000
4.5500   20.171011   65.614880   14.214108   100.000000
4.5600   20.100164   65.639825   14.260011   100.000000
4.5700   20.029566   65.664504   14.305931   100.000000
4.5800   19.959215   65.688917   14.351868   100.000000
4.5900   19.889112   65.713066   14.397822   100.000000
4.6000   19.819255   65.736953   14.443793   100.000000
4.6100   19.749643   65.760577   14.489780   100.000000
4.6200   19.680276   65.783940   14.535784   100.000000
4.6300   19.611152   65.807044   14.581804   100.000000
4.6400   19.542271   65.829888   14.627840   100.000000
4.6500   19.473632   65.852475   14.673892   100.000000
4.6600   19.405234   65.874805   14.719960   100.000000
